Cell_Name,KPI,MAE,RMSE,MAPE (%),Accuracy (%),Data_Mean
enodebA41B281,ps_traffic_mb,239.29,356.42,2598181724590.15,0,598.06
enodebA41B281,avg_rrc_connected_user,3.56,5.82,217808350938.61,0,17.14
enodebA41B281,prb_dl_used,153.76,248.85,3089862823515.86,0,425.2
enodebB11B074,prb_dl_used,2.31,7.32,828507224720.93,0,65.39
enodebH2,ps_traffic_mb,64.0,92.52,561376255965.82,0,61.43
enodebH2,avg_rrc_connected_user,1.14,1.45,23828469307.35,0,2.35
enodebH2,prb_dl_used,17.68,36.23,749059637404.72,0,77.99
enodebG11B012,prb_dl_used,2.84,7.36,736481070521.57,0,65.6
enodebC1,ps_traffic_mb,44.8,84.66,123577199477.03,0,55.68
enodebC1,avg_rrc_connected_user,0.58,0.76,29033984439.3,0,1.99
enodebC1,prb_dl_used,15.43,27.19,1691984256122.3,0,76.98
enodebB8,ps_traffic_mb,194.32,279.35,2543000857232.88,0,431.34
enodebB8,avg_rrc_connected_user,2.64,3.65,75317174225.56,0,11.9
enodebB8,prb_dl_used,49.36,70.14,872803847027.27,0,150.49
enodebJ1,ps_traffic_mb,315.66,409.37,5978383382271.91,0,1176.87
enodebJ1,avg_rrc_connected_user,5.69,6.7,292389452474.82,0,31.58
enodebJ1,prb_dl_used,56.36,74.93,1129300912243.48,0,232.37
enodebF1,ps_traffic_mb,550.38,891.9,1919766108235.54,0,1441.94
enodebF1,avg_rrc_connected_user,6.9,8.4,234100878256.72,0,34.04
enodebF1,prb_dl_used,99.34,146.75,843509991992.64,0,288.21
enodebG8,ps_traffic_mb,50.31,72.82,125697137203.52,0,58.72
enodebG8,avg_rrc_connected_user,1.06,1.32,31961652197.76,0,3.03
enodebG8,prb_dl_used,6.27,10.84,648936907457.82,0,67.99
enodebB12B011,ps_traffic_mb,175.33,223.3,2802474339906.64,0,337.28
enodebB12B011,avg_rrc_connected_user,1.9,2.58,79552079259.24,0,9.09
enodebB12B011,prb_dl_used,56.33,79.04,1704858938887.8,0,173.42
enodebH1,ps_traffic_mb,350.24,504.11,2773264567093.3,0,1413.13
enodebH1,avg_rrc_connected_user,2.45,3.18,170105258632.82,0,30.15
enodebH1,prb_dl_used,52.39,66.45,1174388567627.96,0,269.04
enodebB7,ps_traffic_mb,624.54,1035.03,1534250895306.32,0,1444.25
enodebB7,avg_rrc_connected_user,15.94,29.3,81503709205.33,0,37.51
enodebB7,prb_dl_used,171.19,264.38,3174749374422.98,0,560.15
enodebF31B011,ps_traffic_mb,409.2,582.72,2592231750539.67,0,1049.88
enodebF31B011,avg_rrc_connected_user,8.0,10.07,78660945124.56,0,26.52
enodebF31B011,prb_dl_used,53.37,77.43,1449573993706.61,0,201.43
enodebJ81B281,ps_traffic_mb,76.12,115.88,125744819882.25,0,156.21
enodebJ81B281,avg_rrc_connected_user,1.1,1.46,32269790795.0,0,4.68
enodebJ81B281,prb_dl_used,42.91,59.78,1179023265870.4,0,128.31
enodebA1,ps_traffic_mb,249.03,355.42,14650317192244.51,0,433.85
enodebA1,avg_rrc_connected_user,2.76,3.39,201755603174.93,0,12.41
enodebA1,prb_dl_used,61.01,82.6,3395485639607.0,0,163.33
enodebE61B281,ps_traffic_mb,145.49,204.36,1533938408256.95,0,357.71
enodebE61B281,avg_rrc_connected_user,1.79,2.22,67327757704.04,0,6.62
enodebE61B281,prb_dl_used,177.97,259.9,2505355199214.93,0,489.58
enodebG3,ps_traffic_mb,190.6,256.81,4432896296216.49,0,829.8
enodebG3,avg_rrc_connected_user,3.38,4.18,162639359647.32,0,22.33
enodebG3,prb_dl_used,48.9,68.88,1031475543997.79,0,237.06
enodebA1111B031,ps_traffic_mb,367.79,687.31,11753910064726.99,0,1745.21
enodebA1111B031,avg_rrc_connected_user,4.89,6.25,401647925389.73,0,42.15
enodebA1111B031,prb_dl_used,136.69,174.57,3271864891077.72,0,753.32
enodebJ2,ps_traffic_mb,79.58,114.5,776987234957.26,0,210.17
enodebJ2,avg_rrc_connected_user,1.07,1.36,54459447680.43,0,6.27
enodebJ2,prb_dl_used,22.89,33.48,1149289449078.51,0,86.95
enodebF1121B011,ps_traffic_mb,101.9,156.2,385980209527.23,0,185.64
enodebF1121B011,avg_rrc_connected_user,1.31,1.78,20468468492.54,0,5.66
enodebF1121B011,prb_dl_used,13.03,23.33,658318082503.78,0,77.16
enodebA1131B281,ps_traffic_mb,270.68,361.0,7602884292627.85,0,1140.32
enodebA1131B281,avg_rrc_connected_user,4.42,5.53,380608518933.64,0,28.85
enodebA1131B281,prb_dl_used,145.94,175.34,4645329793316.28,0,842.23
enodebJ7,ps_traffic_mb,219.46,311.13,459038098726.86,0,484.45
enodebJ7,avg_rrc_connected_user,3.31,4.47,33768485018.2,0,12.03
enodebJ7,prb_dl_used,15.32,27.45,870864470813.65,0,79.66
enodebB11B073,ps_traffic_mb,23.42,112.45,108445983613.15,0,22.58
enodebB11B073,avg_rrc_connected_user,0.25,0.39,4152222955.5,0,0.54
enodebB11B073,prb_dl_used,3.89,16.08,833531061811.32,0,66.95
enodebB1,ps_traffic_mb,876.89,1188.15,30276073455872.83,0,2379.82
enodebB1,avg_rrc_connected_user,21.62,28.35,522263566684.82,0,69.34
enodebB1,prb_dl_used,230.33,301.38,5982528686555.5,0,730.87
enodebD61B281,ps_traffic_mb,170.27,269.57,2729787826713.52,0,495.72
enodebD61B281,avg_rrc_connected_user,2.6,3.51,117057614050.67,0,9.65
enodebD61B281,prb_dl_used,183.33,234.53,2594029903447.98,0,488.22
enodebGA9,ps_traffic_mb,126.92,182.08,20082156018.83,0,233.03
enodebGA9,avg_rrc_connected_user,1.96,2.31,37105818617.65,0,7.79
enodebGA9,prb_dl_used,29.81,44.98,1013176401478.96,0,98.52
enodebF1111B011,ps_traffic_mb,271.03,398.49,179.36,0,432.82
enodebF1111B011,avg_rrc_connected_user,4.97,6.77,110793729655.12,0,15.95
enodebF1111B011,prb_dl_used,50.78,67.78,1023096243593.03,0,103.41
enodebE51B281,ps_traffic_mb,160.94,199.17,9337644577046.44,0,1037.08
enodebE51B281,avg_rrc_connected_user,4.08,5.05,311156590792.94,0,29.21
enodebE51B281,prb_dl_used,158.06,190.73,6284787495950.8,0,1012.81
enodebI91B281,ps_traffic_mb,86.8,114.48,2043393850835.85,0,189.57
enodebI91B281,avg_rrc_connected_user,1.27,1.59,35932640266.27,0,4.75
enodebI91B281,prb_dl_used,65.22,94.55,2290868997607.14,0,181.44
enodebC2,ps_traffic_mb,188.21,265.32,3977725346923.16,0,666.63
enodebC2,avg_rrc_connected_user,3.61,4.67,261541207645.84,0,23.47
enodebC2,prb_dl_used,83.78,120.3,2070445060754.44,0,322.31
