Cell_Name,KPI,Accuracy (%),MAE,Data_Mean,RMSE,MAPE_Ref (%)
enodebJ11B012,prb_dl_used,96.48,2.3,65.39,7.31,830685456596.01
enodebJ31B012,prb_dl_used,96.48,2.3,65.39,7.31,830616831781.66
enodebB11B074,prb_dl_used,96.46,2.31,65.39,7.32,828507224720.93
enodebB12B074,prb_dl_used,96.46,2.31,65.39,7.32,828507224720.93
enodebB12B072,prb_dl_used,96.45,2.32,65.39,7.31,830748796465.22
enodebB12B073,prb_dl_used,96.44,2.33,65.39,7.31,827487866086.01
enodebB11B072,prb_dl_used,96.4,2.36,65.39,7.26,786548733713.57
enodebG11B012,prb_dl_used,95.68,2.84,65.6,7.36,736481070521.57
enodebE1,prb_dl_used,95.35,3.01,64.69,10.07,1565486550333.25
enodebH3,prb_dl_used,94.43,3.67,65.81,7.62,693032622341.66
enodebG32B012,prb_dl_used,94.29,3.78,66.12,7.92,709974686309.11
enodebG21B012,prb_dl_used,94.29,3.8,66.64,9.04,734508156780.5
enodebB11B073,prb_dl_used,94.19,3.89,66.95,16.08,833531061811.32
enodebG31B012,prb_dl_used,93.04,4.69,67.37,9.01,673357446993.88
enodebH1,avg_rrc_connected_user,91.88,2.45,30.15,3.18,170105258632.82
enodebG8,prb_dl_used,90.78,6.27,67.99,10.84,648936907457.82
enodebB9,avg_rrc_connected_user,88.87,6.08,54.69,8.26,232403198890.87
enodebI7,avg_rrc_connected_user,88.66,3.29,28.97,4.14,213704665512.42
enodebA1111B031,avg_rrc_connected_user,88.4,4.89,42.15,6.25,401647925389.73
enodebB12B031,avg_rrc_connected_user,87.7,2.49,20.26,3.33,208533177784.72
enodebG7,prb_dl_used,87.53,8.64,69.24,15.53,710712432871.3
enodebF2,avg_rrc_connected_user,87.41,2.8,22.27,3.37,213691651834.29
enodebI2,prb_dl_used,87.34,8.94,70.6,16.92,681702415158.25
enodebD1,avg_rrc_connected_user,86.93,3.54,27.12,4.44,354942888034.06
enodebD41B281,avg_rrc_connected_user,86.6,2.3,17.18,2.93,197448561601.37
enodebG1,avg_rrc_connected_user,86.23,1.83,13.27,2.34,100876688970.24
enodebE51B281,avg_rrc_connected_user,86.02,4.08,29.21,5.05,311156590792.94
enodebGA3,avg_rrc_connected_user,85.92,3.41,24.24,4.15,163164933536.72
enodebI81B281,avg_rrc_connected_user,85.4,2.65,18.16,3.29,84815919415.51
enodebE2,avg_rrc_connected_user,85.34,2.88,19.66,3.8,194025456919.86
enodebB2,avg_rrc_connected_user,85.29,4.1,27.84,5.6,148021280777.72
enodebI3,avg_rrc_connected_user,84.93,2.11,14.03,2.63,95207889890.15
enodebG3,avg_rrc_connected_user,84.88,3.38,22.33,4.18,162639359647.32
enodebA1131B281,avg_rrc_connected_user,84.7,4.42,28.85,5.53,380608518933.64
enodebC2,avg_rrc_connected_user,84.63,3.61,23.47,4.67,261541207645.84
enodebD2,avg_rrc_connected_user,84.49,1.93,12.41,2.36,190110385438.96
enodebE51B281,ps_traffic_mb,84.48,160.94,1037.08,199.17,9337644577046.44
enodebE51B281,prb_dl_used,84.39,158.06,1012.81,190.73,6284787495950.8
enodebE3,avg_rrc_connected_user,83.74,2.55,15.68,3.19,187755823151.09
enodebF91B281,avg_rrc_connected_user,83.55,2.51,15.25,3.0,156719639913.3
enodebB12B071,prb_dl_used,83.51,12.64,76.64,21.19,1128291885070.52
enodebA1131B011,avg_rrc_connected_user,83.48,4.83,29.25,6.88,336956183130.55
enodebE41B281,avg_rrc_connected_user,83.38,3.71,22.33,4.66,208400408440.93
enodebB9,prb_dl_used,83.23,98.76,588.74,129.01,791520436625.16
enodebF1121B011,prb_dl_used,83.11,13.03,77.16,23.33,658318082503.78
enodebA2,avg_rrc_connected_user,82.98,2.47,14.48,3.15,158047954257.04
enodebD3,avg_rrc_connected_user,82.98,2.03,11.93,2.62,162187486902.09
enodebJ2,avg_rrc_connected_user,82.89,1.07,6.27,1.36,54459447680.43
enodebI8,avg_rrc_connected_user,82.79,4.0,23.21,4.84,106814622899.71
enodebA1131B281,prb_dl_used,82.67,145.94,842.23,175.34,4645329793316.28
enodebF3,avg_rrc_connected_user,82.65,4.39,25.3,5.43,188228130356.71
enodebC1131B031,avg_rrc_connected_user,82.08,2.67,14.9,3.37,151126046991.75
enodebJ1,avg_rrc_connected_user,81.97,5.69,31.58,6.7,292389452474.82
enodebF121,prb_dl_used,81.87,14.1,77.79,26.49,916222254448.12
enodebA1111B031,prb_dl_used,81.85,136.69,753.32,174.57,3271864891077.72
enodebH7,prb_dl_used,81.79,16.54,90.81,26.71,1127964337681.57
enodebF111,avg_rrc_connected_user,81.76,3.76,20.64,4.57,152860174593.4
enodebC1121B031,avg_rrc_connected_user,81.67,2.68,14.63,3.14,106285522402.03
enodebA1131B011,prb_dl_used,81.66,83.17,453.54,116.8,2827740351378.14
enodebG9,prb_dl_used,81.17,16.45,87.37,24.47,956100821510.32
enodebH71B281,avg_rrc_connected_user,80.82,0.8,4.18,1.0,7589489248.11
enodebJ7,prb_dl_used,80.77,15.32,79.66,27.45,870864470813.65
enodebF122,avg_rrc_connected_user,80.55,1.78,9.16,2.34,42247633160.95
enodebH1,prb_dl_used,80.53,52.39,269.04,66.45,1174388567627.96
enodebH8,avg_rrc_connected_user,80.51,3.3,16.94,4.12,73195874717.39
enodebC3,avg_rrc_connected_user,80.39,4.17,21.28,5.07,279793729401.4
enodebB3,avg_rrc_connected_user,80.21,6.39,32.3,8.09,227605342883.27
enodebE41B281,ps_traffic_mb,80.18,180.69,911.49,236.21,6132695515974.96
enodebC1,prb_dl_used,79.96,15.43,76.98,27.19,1691984256122.3
enodebI1,prb_dl_used,79.91,15.42,76.74,25.18,688685536400.28
enodebA3,avg_rrc_connected_user,79.77,2.58,12.77,3.06,150002777596.8
enodebF1,avg_rrc_connected_user,79.74,6.9,34.04,8.4,234100878256.72
enodebE41B281,prb_dl_used,79.61,184.7,905.85,235.03,4143039703393.92
enodebB9,ps_traffic_mb,79.46,515.98,2512.05,686.09,4908704122005.14
enodebG3,prb_dl_used,79.37,48.9,237.06,68.88,1031475543997.79
enodebA41B281,avg_rrc_connected_user,79.23,3.56,17.14,5.82,217808350938.61
enodebD31B011,avg_rrc_connected_user,79.22,1.7,8.21,2.13,99709664803.99
enodebB12B011,avg_rrc_connected_user,79.1,1.9,9.09,2.58,79552079259.24
enodebA1111B031,ps_traffic_mb,78.93,367.79,1745.21,687.31,11753910064726.99
enodebF112,avg_rrc_connected_user,78.93,3.07,14.56,3.78,134113992272.94
enodebA1131B011,ps_traffic_mb,78.72,265.23,1246.33,335.36,12591624577869.37
enodebA1111B011,prb_dl_used,78.68,144.95,679.85,186.01,1141957600942.55
enodebJ9,prb_dl_used,78.22,18.24,83.73,36.07,962702194864.65
enodebB3,prb_dl_used,77.95,97.16,440.62,124.54,2237343152388.59
enodebB2,prb_dl_used,77.8,57.25,257.89,82.27,867741902688.79
enodebB8,avg_rrc_connected_user,77.79,2.64,11.9,3.65,75317174225.56
enodebA1,avg_rrc_connected_user,77.76,2.76,12.41,3.39,201755603174.93
enodebB12B031,prb_dl_used,77.74,63.82,286.67,93.34,1797966639225.12
enodebA3,prb_dl_used,77.65,26.15,116.98,35.19,2304052273451.67
enodebH2,prb_dl_used,77.33,17.68,77.99,36.23,749059637404.72
enodebG2,avg_rrc_connected_user,77.06,4.71,20.55,5.99,146519025186.41
enodebG3,ps_traffic_mb,77.03,190.6,829.8,256.81,4432896296216.49
enodebF1121B011,avg_rrc_connected_user,76.9,1.31,5.66,1.78,20468468492.54
